<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2008.10.06	21.66	23.15	19.07	22.88	28526	36376500	1
2008.10.07	22.66	23.61	20.83	21.59	28832	33356100	1
2008.10.08	20.37	22.12	19.75	20.37	38587	53174600	1
2008.10.09	21.66	21.74	19.54	19.74	32009	43196800	1
2008.10.10	17.55	19.11	17.47	18.31	35381	48646500	1
2008.10.13	20.06	20.52	18.93	20.52	32057	39591600	1
2008.10.14	21.66	22.12	20.09	20.83	36756	46780000	1
2008.10.15	19.83	19.99	17.48	18.31	42588	52918700	1
2008.10.16	18.32	18.46	16.10	16.93	42140	53712100	1
2008.10.17	17.12	18.39	16.40	17.54	31553	38225200	1
2008.10.20	18.00	19.53	17.93	19.37	28342	36252100	1
2008.10.21	18.90	19.69	18.41	19.07	29624	31482200	1
2008.10.22	18.00	18.57	17.40	17.70	26226	32896700	1
2008.10.23	17.45	18.07	16.63	17.32	31667	35682700	1
2008.10.24	15.82	16.78	15.26	15.56	36072	40446400	1
2008.10.27	15.31	15.36	13.81	13.81	28425	32023500	1
2008.10.28	14.88	15.29	13.58	15.29	36627	50424600	1
2008.10.29	15.65	16.77	15.36	16.32	36466	47713000	1
2008.10.30	17.01	17.52	16.78	17.43	32374	40242800	1
2008.10.31	16.97	18.22	16.68	17.78	27439	33757100	1
2008.11.03	18.08	18.25	17.43	17.65	18815	20178700	1
2008.11.04	18.16	19.48	17.93	19.15	28201	39886200	1
2008.11.05	19.06	19.59	18.32	18.50	26055	28210900	1
2008.11.06	17.89	18.42	16.95	17.47	27330	31849200	1
2008.11.07	17.85	18.29	17.31	17.74	21755	28130800	1
2008.11.10	18.77	19.06	17.90	18.27	21863	27715700	1
2008.11.11	17.77	18.46	17.50	18.24	21333	25843600	1
2008.11.12	17.39	17.66	15.73	15.73	46231	57687300	1
2008.11.13	15.79	16.47	15.16	16.10	34002	39305600	1
2008.11.14	16.47	16.57	15.47	15.84	23242	26886700	1
2008.11.17	15.26	15.87	15.11	15.60	21211	28010500	1
2008.11.18	15.18	15.60	14.49	14.68	27865	32618500	1
2008.11.19	14.65	15.00	14.11	14.11	25041	26124500	1
2008.11.21	13.17	13.72	12.78	12.88	40179	42063000	1
2008.11.24	13.74	14.75	13.62	14.67	34198	40971500	1
2008.11.25	14.38	15.24	14.20	14.77	33072	41349300	1
2008.11.26	14.41	15.84	14.35	15.65	31174	39338000	1
2008.11.27	15.39	15.84	15.22	15.22	14519	17124000	1
2008.11.28	15.10	15.68	14.78	15.30	23199	27647400	1
2008.12.01	14.67	14.86	14.04	14.04	22698	25556300	1
2008.12.02	14.26	14.46	13.81	13.96	21241	26918500	1
2008.12.03	13.96	14.82	13.52	14.73	29892	38117000	1
2008.12.04	14.95	14.95	14.19	14.19	19546	23546600	1
2008.12.05	13.88	14.01	13.24	13.85	29505	36192900	1
2008.12.08	14.61	15.49	14.54	15.42	40297	42952400	1
2008.12.09	15.40	15.98	15.21	15.34	26210	34228200	1
2008.12.10	15.78	16.88	15.75	16.74	34020	49228700	1
2008.12.11	16.93	17.91	16.82	17.03	35849	49586500	1
2008.12.12	16.17	17.37	16.10	17.24	24315	36698800	1
2008.12.15	17.64	18.27	17.25	17.47	24874	34078700	1
2008.12.16	18.06	18.25	17.87	18.16	18376	25827800	1
2008.12.17	18.29	18.88	18.04	18.57	26858	40217000	1
2008.12.18	18.69	18.83	17.74	17.93	24974	30519800	1
2008.12.19	17.58	18.06	17.42	17.81	19262	23832200	1
2008.12.22	17.93	18.16	16.88	16.89	17334	19427600	1
2008.12.23	16.97	17.24	16.66	16.78	10004	14036300	1
2008.12.26	17.15	17.39	16.93	17.39	7962	10097900	1
2008.12.29	18.14	18.18	17.47	17.80	11285	14425900	1
2008.12.30	17.95	18.26	17.58	18.06	12187	16228400	1
2009.01.02	18.40	19.42	18.34	19.40	18358	17321600	1
2009.01.05	19.27	20.16	19.00	19.84	23129	26454800	1
2009.01.06	20.17	20.47	19.81	20.12	19606	24254000	1
2009.01.07	19.61	19.76	19.08	19.33	17800	20606100	1
2009.01.08	19.25	20.16	18.85	20.16	18522	23999000	1
2009.01.09	20.00	20.54	19.84	20.08	15369	18548600	1
2009.01.12	19.56	19.72	18.74	18.78	21455	25552600	1
2009.01.13	18.46	19.50	18.28	18.93	20803	25569300	1
2009.01.14	18.74	19.19	18.20	18.42	21264	28355500	1
2009.01.15	18.46	19.05	17.80	19.05	25109	33622200	1
2009.01.16	19.54	19.57	18.82	19.20	23164	24634000	1
2009.01.19	19.24	19.34	18.70	18.84	10830	12776500	1
2009.01.20	18.70	19.05	18.23	18.23	15066	17539400	1
2009.01.21	18.35	19.18	18.35	19.18	17649	21253600	1
2009.01.22	19.34	19.41	18.38	18.69	18440	24899400	1
2009.01.23	18.18	19.11	17.97	18.65	19217	24059400	1
2009.01.26	18.58	19.20	18.38	18.82	19616	24486100	1
2009.01.27	18.82	19.05	18.71	18.89	13807	18165100	1
2009.01.28	19.28	20.04	19.25	19.92	26769	34169000	1
2009.01.29	19.67	19.95	19.54	19.79	13340	15589500	1
2009.01.30	19.61	20.39	19.57	19.79	20034	22026000	1
2009.02.02	19.41	19.91	19.38	19.52	13695	18005800	1
2009.02.03	19.69	20.24	19.61	20.22	16767	19850600	1
2009.02.04	20.45	21.00	20.21	20.32	25883	33639500	1
2009.02.05	20.28	20.83	19.99	20.56	20062	27091900	1
2009.02.06	20.79	21.57	20.60	21.42	26558	30219700	1
2009.02.09	21.35	22.25	21.27	21.65	27433	32278200	1
2009.02.10	21.98	22.25	21.27	21.39	21696	32579800	1
2009.02.11	21.40	21.88	20.87	21.27	19561	26154600	1
2009.02.12	21.03	21.53	20.62	21.18	19624	22932600	1
2009.02.13	21.84	21.96	21.35	21.82	19094	21869000	1
2009.02.16	21.66	22.07	21.50	22.07	10512	15984500	1
2009.02.17	21.35	21.50	20.82	20.87	19253	24653600	1
2009.02.18	21.12	21.31	20.18	20.47	20981	29150400	1
2009.02.19	20.71	21.05	20.59	20.79	17170	20646900	1
2009.02.20	20.20	20.62	19.95	20.38	17136	24735200	1
2009.02.25	20.00	21.17	20.00	20.75	14550	17005100	1
2009.02.26	21.19	21.58	20.97	20.97	16447	22537100	1
2009.02.27	20.56	21.61	20.37	20.87	21767	28758800	1
2009.03.02	20.52	20.75	19.69	19.78	23601	27208200	1
2009.03.03	20.12	20.16	19.17	19.61	22186	29979500	1
2009.03.04	20.48	21.05	20.28	20.85	26326	38446300	1
2009.03.05	20.40	21.07	20.25	20.56	17813	24513900	1
2009.03.06	20.76	21.26	19.71	20.29	22988	32389300	1
2009.03.09	19.88	20.87	19.85	20.32	18534	26654800	1
2009.03.10	20.85	21.50	20.69	21.40	27287	34077900	1
